Timestamp,Address,OldValue,NewValue,Delta
2026-04-26 12:26:33.841,11565,28355,21970,-6385
2026-04-26 12:26:33.842,11570,15321,15858,537
2026-04-26 12:26:33.881,11633,63897,61464,-2433
2026-04-26 12:26:33.884,11638,47653,48190,537
2026-04-26 12:26:33.979,11933,28133,21806,-6327
2026-04-26 12:26:33.979,11938,47681,48213,532
2026-04-26 12:26:33.999,12033,61741,55474,-6267
2026-04-26 12:26:33.999,12038,15371,15898,527
2026-04-26 12:26:33.999,12065,27761,21494,-6267
2026-04-26 12:26:33.999,12070,15371,15898,527
2026-04-26 12:26:34.028,12665,27299,21532,-5767
2026-04-26 12:26:34.029,12670,15419,15904,485
2026-04-26 12:26:35.150,11565,21970,18176,-3794
2026-04-26 12:26:35.151,11570,15858,16177,319
2026-04-26 12:26:35.182,11633,61464,60024,-1440
2026-04-26 12:26:35.183,11638,48190,48508,318
2026-04-26 12:26:35.311,11933,21806,17929,-3877
2026-04-26 12:26:35.312,11938,48213,48539,326
2026-04-26 12:26:35.313,11965,65391,65392,1
2026-04-26 12:26:35.349,12033,55474,51538,-3936
2026-04-26 12:26:35.349,12038,15898,16229,331
2026-04-26 12:26:35.349,12065,21494,17558,-3936
2026-04-26 12:26:35.350,12070,15898,16229,331
2026-04-26 12:26:35.390,12665,21532,17560,-3972
2026-04-26 12:26:35.390,12670,15904,16238,334
2026-04-26 12:26:36.389,11565,18176,14538,-3638
2026-04-26 12:26:36.390,11570,16177,16483,306
2026-04-26 12:26:36.434,11633,60024,58633,-1391
2026-04-26 12:26:36.434,11638,48508,48815,307
2026-04-26 12:26:36.513,11933,17929,14422,-3507
2026-04-26 12:26:36.513,11938,48539,48834,295
2026-04-26 12:26:36.515,11965,65392,65391,-1
2026-04-26 12:26:36.549,12033,51538,48042,-3496
2026-04-26 12:26:36.549,12038,16229,16523,294
2026-04-26 12:26:36.550,12065,17558,14062,-3496
2026-04-26 12:26:36.550,12070,16229,16523,294
2026-04-26 12:26:36.589,12665,17560,14064,-3496
2026-04-26 12:26:36.589,12670,16238,16532,294
2026-04-26 12:26:37.699,11565,14538,10721,-3817
2026-04-26 12:26:37.700,11570,16483,16804,321
2026-04-26 12:26:37.742,11633,58633,57179,-1454
2026-04-26 12:26:37.742,11638,48815,49136,321
2026-04-26 12:26:37.861,11933,14422,10487,-3935
2026-04-26 12:26:37.861,11938,48834,49165,331
2026-04-26 12:26:37.861,11965,65391,65390,-1
2026-04-26 12:26:37.882,12033,48042,44154,-3888
2026-04-26 12:26:37.882,12038,16523,16850,327
2026-04-26 12:26:37.882,12065,14062,10174,-3888
2026-04-26 12:26:37.883,12070,16523,16850,327
2026-04-26 12:26:37.919,12665,14064,10188,-3876
2026-04-26 12:26:37.919,12670,16532,16858,326
2026-04-26 12:26:39.072,11565,10721,6725,-3996
2026-04-26 12:26:39.073,11570,16804,17140,336
2026-04-26 12:26:39.108,11633,57179,55657,-1522
2026-04-26 12:26:39.109,11638,49136,49472,336
2026-04-26 12:26:39.230,11933,10487,6492,-3995
2026-04-26 12:26:39.231,11938,49165,49501,336
2026-04-26 12:26:39.251,12033,44154,40158,-3996
2026-04-26 12:26:39.252,12038,16850,17186,336
2026-04-26 12:26:39.252,12065,10174,6178,-3996
2026-04-26 12:26:39.253,12070,16850,17186,336
2026-04-26 12:26:39.295,12665,10188,6192,-3996
2026-04-26 12:26:39.297,12670,16858,17194,336
2026-04-26 12:26:40.350,11565,6725,3015,-3710
2026-04-26 12:26:40.355,11570,17140,17452,312
2026-04-26 12:26:40.381,11633,55657,54244,-1413
2026-04-26 12:26:40.382,11638,49472,49784,312
2026-04-26 12:26:40.479,11933,6492,2854,-3638
2026-04-26 12:26:40.479,11938,49501,49807,306
2026-04-26 12:26:40.480,11965,65390,65389,-1
2026-04-26 12:26:40.525,12033,40158,36460,-3698
2026-04-26 12:26:40.525,12038,17186,17497,311
2026-04-26 12:26:40.526,12065,6178,2480,-3698
2026-04-26 12:26:40.526,12070,17186,17497,311
2026-04-26 12:26:40.560,12665,6192,2482,-3710
2026-04-26 12:26:40.561,12670,17194,17506,312
2026-04-26 12:26:41.590,11565,3015,64912,61897
2026-04-26 12:26:41.590,11570,17452,17758,306
2026-04-26 12:26:41.648,11633,54244,52844,-1400
2026-04-26 12:26:41.649,11638,49784,50093,309
2026-04-26 12:26:41.740,11933,2854,64715,61861
2026-04-26 12:26:41.740,11938,49807,50116,309
2026-04-26 12:26:41.741,11965,65389,65390,1
2026-04-26 12:26:41.781,12033,36460,32786,-3674
2026-04-26 12:26:41.781,12038,17497,17806,309
2026-04-26 12:26:41.781,12065,2480,64342,61862
2026-04-26 12:26:41.782,12070,17497,17806,309
2026-04-26 12:26:41.823,12665,2482,64344,61862
2026-04-26 12:26:41.824,12670,17506,17815,309
2026-04-26 12:26:42.927,11565,64912,61036,-3876
2026-04-26 12:26:42.928,11570,17758,18084,326
2026-04-26 12:26:42.962,11633,52844,51381,-1463
2026-04-26 12:26:42.962,11638,50093,50416,323
2026-04-26 12:26:43.061,11933,64715,60861,-3854
2026-04-26 12:26:43.061,11938,50116,50440,324
2026-04-26 12:26:43.062,11965,65390,65391,1
2026-04-26 12:26:43.100,12033,32786,28933,-3853
2026-04-26 12:26:43.101,12038,17806,18130,324
2026-04-26 12:26:43.102,12065,64342,60489,-3853
2026-04-26 12:26:43.102,12070,17806,18130,324
2026-04-26 12:26:43.143,12665,64344,60503,-3841
2026-04-26 12:26:43.143,12670,17815,18138,323
2026-04-26 12:26:44.199,11565,61036,57302,-3734
2026-04-26 12:26:44.199,11570,18084,18398,314
2026-04-26 12:26:44.241,11633,51381,49958,-1423
2026-04-26 12:26:44.242,11638,50416,50730,314
2026-04-26 12:26:44.361,11933,60861,57068,-3793
2026-04-26 12:26:44.362,11938,50440,50759,319
2026-04-26 12:26:44.362,11965,65391,65390,-1
2026-04-26 12:26:44.399,12033,28933,25151,-3782
2026-04-26 12:26:44.399,12038,18130,18448,318
2026-04-26 12:26:44.400,12065,60489,56707,-3782
2026-04-26 12:26:44.400,12070,18130,18448,318
2026-04-26 12:26:44.440,12665,60503,56709,-3794
2026-04-26 12:26:44.440,12670,18138,18457,319
2026-04-26 12:26:45.541,11565,57302,53390,-3912
2026-04-26 12:26:45.542,11570,18398,18727,329
2026-04-26 12:26:45.580,11633,49958,48468,-1490
2026-04-26 12:26:45.581,11638,50730,51059,329
2026-04-26 12:26:45.691,11933,57068,53191,-3877
2026-04-26 12:26:45.692,11938,50759,51085,326
2026-04-26 12:26:45.692,11965,65390,65391,1
2026-04-26 12:26:45.732,12033,25151,21263,-3888
2026-04-26 12:26:45.733,12038,18448,18775,327
2026-04-26 12:26:45.733,12065,56707,52819,-3888
2026-04-26 12:26:45.734,12070,18448,18775,327
2026-04-26 12:26:45.769,12665,56709,52833,-3876
2026-04-26 12:26:45.770,12670,18457,18783,326
2026-04-26 12:26:46.800,11565,53390,49715,-3675
2026-04-26 12:26:46.800,11570,18727,19036,309
2026-04-26 12:26:46.842,11633,48468,47068,-1400
