Timestamp,Address,RawValue,HumanValue,Delta
2026-04-26 18:56:01.783,11570,5584,5.584,59
2026-04-26 18:56:02.165,12038,5678,5.678,153
2026-04-26 18:56:02.225,11638,3006,3.006,169
2026-04-26 18:56:02.566,11570,5775,5.775,191
2026-04-26 18:56:02.933,12038,5867,5.867,189
2026-04-26 18:56:02.996,11638,3195,3.195,189
2026-04-26 18:56:03.345,11570,5967,5.967,192
2026-04-26 18:56:03.714,12038,6056,6.056,189
2026-04-26 18:56:03.765,11638,3384,3.384,189
2026-04-26 18:56:04.105,11570,6153,6.153,186
2026-04-26 18:56:04.366,12032,36707,36.707,-5
2026-04-26 18:56:04.386,12033,2465,2.465,2046
2026-04-26 18:56:04.500,12038,6251,6.251,195
2026-04-26 18:56:04.555,11638,3577,3.577,193
2026-04-26 18:56:04.786,11564,29929,29.929,-2911
2026-04-26 18:56:04.811,11565,46387,46.387,14412
2026-04-26 18:56:04.906,11570,6349,6.349,196
2026-04-26 18:56:05.144,12032,30055,30.055,-6652
2026-04-26 18:56:05.165,12033,16890,16.890,14425
2026-04-26 18:56:05.265,12038,6438,6.438,187
2026-04-26 18:56:05.324,11638,3766,3.766,189
2026-04-26 18:56:05.547,11564,24840,24.840,-5089
2026-04-26 18:56:05.566,11565,19804,19.804,-26583
2026-04-26 18:56:05.584,11566,58907,58.907,58907
2026-04-26 18:56:05.666,11570,6535,6.535,186
2026-04-26 18:56:05.907,12032,28712,28.712,-1343
2026-04-26 18:56:05.924,12033,53784,53.784,36894
2026-04-26 18:56:05.944,12034,37173,37.173,-15340
2026-04-26 18:56:06.025,12038,6625,6.625,187
2026-04-26 18:56:06.096,11638,3955,3.955,189
2026-04-26 18:56:06.355,11566,1967,1.967,-56940
2026-04-26 18:56:06.434,11570,6724,6.724,189
2026-04-26 18:56:06.768,12034,41568,41.568,4395
2026-04-26 18:56:07.025,12038,6870,6.870,245
2026-04-26 18:56:07.085,11638,4198,4.198,243
2026-04-26 18:56:07.325,11565,19959,19.959,155
2026-04-26 18:56:07.344,11566,50627,50.627,48660
2026-04-26 18:56:07.439,11570,6970,6.970,246
2026-04-26 18:56:07.748,12033,769,0.769,-53015
2026-04-26 18:56:07.765,12034,13256,13.256,-28312
2026-04-26 18:56:07.844,12038,7071,7.071,201
2026-04-26 18:56:07.907,11638,4399,4.399,201
2026-04-26 18:56:08.146,11565,43481,43.481,23522
2026-04-26 18:56:08.165,11566,42104,42.104,-8523
2026-04-26 18:56:08.245,11570,7168,7.168,198
2026-04-26 18:56:08.516,12033,12000,12.000,11231
2026-04-26 18:56:08.546,12034,9354,9.354,-3902
2026-04-26 18:56:08.624,12038,7262,7.262,191
2026-04-26 18:56:08.685,11638,4590,4.590,191
2026-04-26 18:56:08.925,11565,43556,43.556,75
2026-04-26 18:56:08.945,11566,42099,42.099,-5
2026-04-26 18:56:09.024,11570,7359,7.359,191
2026-04-26 18:56:09.394,12038,7451,7.451,189
2026-04-26 18:56:09.455,11638,4779,4.779,189
2026-04-26 18:56:09.796,11570,7548,7.548,189
2026-04-26 18:56:10.177,12038,7643,7.643,192
2026-04-26 18:56:10.235,11638,4970,4.970,191
2026-04-26 18:56:10.585,11570,7742,7.742,194
2026-04-26 18:56:10.956,12038,7834,7.834,191
2026-04-26 18:56:11.016,11638,5161,5.161,191
2026-04-26 18:56:11.356,11570,7931,7.931,189
2026-04-26 18:56:11.625,12033,18903,18.903,6903
2026-04-26 18:56:11.645,12034,6609,6.609,-2745
2026-04-26 18:56:11.725,12038,8023,8.023,189
2026-04-26 18:56:11.784,11638,5350,5.350,189
2026-04-26 18:56:12.036,11565,63229,63.229,19673
2026-04-26 18:56:12.057,11566,34706,34.706,-7393
2026-04-26 18:56:12.137,11570,8122,8.122,191
2026-04-26 18:56:12.395,12033,41235,41.235,22332
2026-04-26 18:56:12.415,12034,65236,65.236,58627
2026-04-26 18:56:12.497,12038,8211,8.211,188
2026-04-26 18:56:12.555,11638,5539,5.539,189
2026-04-26 18:56:12.796,11565,54167,54.167,-9062
2026-04-26 18:56:12.818,11566,32444,32.444,-2262
2026-04-26 18:56:12.907,11570,8311,8.311,189
2026-04-26 18:56:13.397,12033,57641,57.641,16406
2026-04-26 18:56:13.497,12038,8457,8.457,246
2026-04-26 18:56:13.566,11638,5787,5.787,248
2026-04-26 18:56:13.806,11565,26075,26.075,-28092
2026-04-26 18:56:13.907,11570,8556,8.556,245
2026-04-26 18:56:14.185,12033,58392,58.392,751
2026-04-26 18:56:14.284,12038,8650,8.650,193
2026-04-26 18:56:14.345,11638,5978,5.978,191
2026-04-26 18:56:14.584,11565,24787,24.787,-1288
2026-04-26 18:56:14.688,11570,8748,8.748,192
2026-04-26 18:56:14.944,12033,34963,34.963,-23429
2026-04-26 18:56:15.045,12038,8837,8.837,187
2026-04-26 18:56:15.107,11638,6165,6.165,187
2026-04-26 18:56:15.337,11564,4339,4.339,-20501
2026-04-26 18:56:15.365,11565,7052,7.052,-17735
2026-04-26 18:56:15.475,11570,8941,8.941,193
2026-04-26 18:56:15.727,12032,11353,11.353,-17359
2026-04-26 18:56:15.745,12033,41032,41.032,6069
2026-04-26 18:56:15.844,12038,9033,9.033,196
2026-04-26 18:56:15.906,11638,6361,6.361,196
2026-04-26 18:56:16.134,11564,5746,5.746,1407
2026-04-26 18:56:16.256,11570,9133,9.133,192
2026-04-26 18:56:16.496,12032,14679,14.679,3326
2026-04-26 18:56:16.615,12038,9222,9.222,189
2026-04-26 18:56:16.677,11638,6550,6.550,189
2026-04-26 18:56:16.897,11564,10431,10.431,4685
2026-04-26 18:56:17.014,11570,9319,9.319,186
2026-04-26 18:56:17.256,12032,18684,18.684,4005
2026-04-26 18:56:17.386,12038,9411,9.411,189
2026-04-26 18:56:17.444,11638,6738,6.738,188
2026-04-26 18:56:17.656,11564,14437,14.437,4006
2026-04-26 18:56:17.783,11570,9508,9.508,189
2026-04-26 18:56:18.068,12032,15215,15.215,-3469
2026-04-26 18:56:18.186,12038,9607,9.607,196
2026-04-26 18:56:18.246,11638,6935,6.935,197
2026-04-26 18:56:18.468,11564,15477,15.477,1040
2026-04-26 18:56:18.593,11570,9704,9.704,196
2026-04-26 18:56:18.825,12032,1000,1.000,-14215
2026-04-26 18:56:18.846,12033,33888,33.888,-7144
2026-04-26 18:56:18.956,12038,9796,9.796,189
2026-04-26 18:56:19.017,11638,7123,7.123,188
2026-04-26 18:56:19.247,11564,62664,62.664,47187
2026-04-26 18:56:19.271,11565,12800,12.800,5748
2026-04-26 18:56:19.365,11570,9895,9.895,191
2026-04-26 18:56:19.634,12033,50481,50.481,16593
2026-04-26 18:56:19.746,12038,9989,9.989,193
2026-04-26 18:56:19.824,11638,7322,7.322,199
2026-04-26 18:56:20.096,11565,5933,5.933,-6867
2026-04-26 18:56:20.195,11570,10099,10.099,204
2026-04-26 18:56:20.457,12033,44294,44.294,-6187
2026-04-26 18:56:20.556,12038,10188,10.188,199
2026-04-26 18:56:20.616,11638,7516,7.516,194
2026-04-26 18:56:20.857,11565,9939,9.939,4006
2026-04-26 18:56:20.957,11570,10285,10.285,186
2026-04-26 18:56:21.217,12033,48979,48.979,4685
2026-04-26 18:56:21.316,12038,10374,10.374,186
2026-04-26 18:56:21.395,11638,7707,7.707,191
